user_id,session_id,distance_mean,distance_std,distance_sum,speed_mean,speed_std,event_count,idle_mean,idle_std,idle_max,session_duration_sec
55.0,94,0.0,0.0,0.0,0.0,0.0,2,404.2495,555.4047994575668,796.98,11.519
57.0,94,0.0,0.0,0.0,0.0,0.0,61,6.012566666666667,12.603134550063551,82.086,360.754
57.0,95,0.0,0.0,0.0,0.0,0.0,50,28.18714,148.5365870341564,1056.612,352.745
57.0,96,0.0,0.0,0.0,0.0,0.0,82,19.785707317073168,59.680256811392596,500.625,1121.803
58.0,96,0.0,0.0,0.0,0.0,0.0,7,97.7965,117.11388690116983,298.726,586.779
58.0,97,0.0,0.0,0.0,0.0,0.0,4,187.737,198.16721995829684,468.112,282.836
58.0,98,0.0,0.0,0.0,0.0,0.0,9,92.86555555555555,208.4395617433931,645.212,190.578
59.0,98,0.0,0.0,0.0,0.0,0.0,6,66.2914,92.5048154897895,227.0,331.457
59.0,99,0.0,0.0,0.0,0.0,0.0,2,800.4435,1053.6704212477923,1545.501,55.386
59.0,100,0.0,0.0,0.0,0.0,0.0,5,137.11939999999998,232.6518903196361,544.887,140.71
60.0,100,0.0,0.0,0.0,0.0,0.0,9,61.737625,93.23152182135075,281.184,493.901
60.0,101,0.0,0.0,0.0,0.0,0.0,73,31.069575342465757,49.82336679653597,325.176,1942.903
60.0,102,0.0,0.0,0.0,0.0,0.0,108,26.154750000000003,156.31068553467506,1607.535,1217.178
61.0,102,0.0,0.0,0.0,0.0,0.0,5,11.46775,12.714819971854366,30.3,45.871
61.0,103,0.0,0.0,0.0,0.0,0.0,10,52.1736,106.31374210661156,347.919,173.817
62.0,103,0.0,0.0,0.0,0.0,0.0,18,30.846117647058826,33.88122227149272,139.795,524.384
62.0,104,0.0,0.0,0.0,0.0,0.0,14,92.48792857142857,222.4910894525076,858.256,436.575
62.0,105,0.0,0.0,0.0,0.0,0.0,4,108.632,203.61750803733293,414.009,20.519
62.0,106,0.0,0.0,0.0,0.0,0.0,5,201.1234,157.91174982977043,449.84,555.777
62.0,107,0.0,0.0,0.0,0.0,0.0,2,217.296,221.1603737381541,373.68,60.912
62.0,108,0.0,0.0,0.0,0.0,0.0,2,265.248,346.1061419738171,509.982,20.514
63.0,108,0.0,0.0,0.0,0.0,0.0,22,25.862047619047623,41.32395404662554,158.649,543.103
63.0,109,0.0,0.0,0.0,0.0,0.0,36,2535.137388888889,15080.507480992304,90504.497,760.449
63.0,110,0.0,0.0,0.0,0.0,0.0,55,40.021781818181815,79.40926886791429,397.544,1803.654
64.0,110,0.0,0.0,0.0,0.0,0.0,34,14.673454545454547,22.526148827655426,132.598,484.224
64.0,111,0.0,0.0,0.0,0.0,0.0,33,30.549212121212122,78.29259469003023,437.68,570.444
64.0,112,0.0,0.0,0.0,0.0,0.0,8,68.8235,148.9492146826274,436.936,113.652
64.0,113,0.0,0.0,0.0,0.0,0.0,21,48.049,172.0748665985245,798.703,210.326
66.0,113,0.0,0.0,0.0,0.0,0.0,10,14.265555555555554,18.766022168477203,62.921,128.39
66.0,114,0.0,,0.0,0.0,,1,429.105,,429.105,0.0
66.0,115,0.0,0.0,0.0,0.0,0.0,7,81.23185714285715,140.25577771631913,381.447,187.176
66.0,116,0.0,,0.0,0.0,,1,362.585,,362.585,0.0
