id,action,coordinates,button,delta,distance,speed,user_id,timestamp,time_diff,session_id,x,y,delta_x,delta_y
73126.0,click,"494,292",left,"0,0",0.0,0.0,2.0,2025-03-22 04:24:28.793000+00:00,32.152,5,494,292,0,0
73127.0,click,"494,292",left,"0,0",0.0,0.0,2.0,2025-03-22 04:24:28.971000+00:00,0.178,5,494,292,0,0
73184.0,click,"534,299",left,"0,0",0.0,0.0,2.0,2025-03-22 04:24:38.500000+00:00,9.529,5,534,299,0,0
73186.0,click,"535,299",left,"0,0",0.0,0.0,2.0,2025-03-22 04:24:40.968000+00:00,2.468,5,535,299,0,0
73837.0,click,"480,226",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:08.244000+00:00,747.276,6,480,226,0,0
73852.0,click,"481,217",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:09.227000+00:00,0.983,6,481,217,0,0
73853.0,click,"481,217",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:09.554000+00:00,0.327,6,481,217,0,0
73953.0,click,"516,291",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:37.708000+00:00,28.154,6,516,291,0,0
74179.0,click,"542,298",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:49.758000+00:00,12.05,6,542,298,0,0
74211.0,click,"443,292",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:56.299000+00:00,6.541,6,443,292,0,0
74212.0,click,"443,292",left,"0,0",0.0,0.0,2.0,2025-03-22 04:37:56.691000+00:00,0.392,6,443,292,0,0
74330.0,click,"173,-54",left,"0,0",0.0,0.0,2.0,2025-03-22 04:38:26.169000+00:00,29.478,6,173,-54,0,0
74447.0,click,"518,283",left,"0,0",0.0,0.0,2.0,2025-03-22 04:38:40.765000+00:00,14.596,6,518,283,0,0
74529.0,click,"448,296",left,"0,0",0.0,0.0,2.0,2025-03-22 04:38:51.352000+00:00,10.587,6,448,296,0,0
74530.0,click,"448,296",left,"0,0",0.0,0.0,2.0,2025-03-22 04:38:51.563000+00:00,0.211,6,448,296,0,0
74789.0,click,"279,183",left,"0,0",0.0,0.0,2.0,2025-03-22 04:39:39.202000+00:00,47.639,6,279,183,0,0
75138.0,click,"493,288",left,"0,0",0.0,0.0,2.0,2025-03-22 04:45:57.885000+00:00,378.683,6,493,288,0,0
75182.0,click,"446,294",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:01.840000+00:00,3.955,6,446,294,0,0
75183.0,click,"446,294",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:02.072000+00:00,0.232,6,446,294,0,0
75223.0,click,"499,289",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:05.011000+00:00,2.939,6,499,289,0,0
75507.0,click,"473,290",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:30.655000+00:00,25.644,6,473,290,0,0
75558.0,click,"449,288",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:37.321000+00:00,6.666,6,449,288,0,0
75559.0,click,"449,288",left,"0,0",0.0,0.0,2.0,2025-03-22 04:46:37.528000+00:00,0.207,6,449,288,0,0
75780.0,click,"489,295",left,"0,0",0.0,0.0,2.0,2025-03-22 04:56:04.468000+00:00,566.94,6,489,295,0,0
75858.0,click,"477,294",left,"0,0",0.0,0.0,2.0,2025-03-22 04:56:27.387000+00:00,22.919,6,477,294,0,0
76008.0,click,"262,40",left,"0,0",0.0,0.0,2.0,2025-03-22 04:56:36.304000+00:00,8.917,6,262,40,0,0
76042.0,click,"480,214",left,"0,0",0.0,0.0,2.0,2025-03-22 04:56:37.772000+00:00,1.468,6,480,214,0,0
76467.0,click,"879,274",left,"0,0",0.0,0.0,2.0,2025-03-22 04:56:53.229000+00:00,15.457,6,879,274,0,0
76797.0,click,"875,273",left,"0,0",0.0,0.0,2.0,2025-03-22 04:57:05.968000+00:00,12.739,6,875,273,0,0
77479.0,click,"461,339",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:24.133000+00:00,1158.165,7,461,339,0,0
77598.0,click,"638,318",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:31.281000+00:00,7.148,7,638,318,0,0
77658.0,click,"507,222",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:32.521000+00:00,1.24,7,507,222,0,0
77800.0,click,"453,225",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:41.993000+00:00,9.472,7,453,225,0,0
77801.0,click,"453,225",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:42.199000+00:00,0.206,7,453,225,0,0
77925.0,click,"466,304",left,"0,0",0.0,0.0,2.0,2025-03-22 05:16:48.442000+00:00,6.243,7,466,304,0,0
78161.0,click,"454,286",left,"0,0",0.0,0.0,2.0,2025-03-22 05:17:06.135000+00:00,17.693,7,454,286,0,0
78192.0,click,"475,293",left,"0,0",0.0,0.0,2.0,2025-03-22 05:17:08.635000+00:00,2.5,7,475,293,0,0
78346.0,click,"481,296",left,"0,0",0.0,0.0,2.0,2025-03-22 05:34:45.978000+00:00,1057.343,8,481,296,0,0
78375.0,click,"500,283",left,"0,0",0.0,0.0,2.0,2025-03-22 05:34:56.903000+00:00,10.925,8,500,283,0,0
78442.0,click,"558,290",left,"0,0",0.0,0.0,2.0,2025-03-22 05:35:05.680000+00:00,8.777,8,558,290,0,0
