user_id,session_id,distance_mean,distance_sum,speed_mean,speed_max,click_count,start_time,end_time,action_count,session_duration_sec
55.0,62,0.0,0.0,0.0,0.0,1,2025-05-14 09:23:17.595000+00:00,2025-05-14 09:23:17.595000+00:00,1,0.0
55.0,63,0.0,0.0,0.0,0.0,1,2025-05-14 09:36:43.293000+00:00,2025-05-14 09:36:43.293000+00:00,1,0.0
55.0,64,0.0,0.0,0.0,0.0,4,2025-05-14 12:05:18.067000+00:00,2025-05-14 12:09:18.461000+00:00,4,240.394
55.0,65,0.0,0.0,0.0,0.0,3,2025-05-14 12:30:48.136000+00:00,2025-05-14 12:32:34.124000+00:00,3,105.988
55.0,66,0.0,0.0,0.0,0.0,3,2025-05-14 12:58:38.319000+00:00,2025-05-14 13:09:02.280000+00:00,3,623.961
55.0,67,0.0,0.0,0.0,0.0,1,2025-05-14 13:19:39.287000+00:00,2025-05-14 13:19:39.287000+00:00,1,0.0
55.0,68,0.0,0.0,0.0,0.0,2,2025-05-14 13:32:56.267000+00:00,2025-05-14 13:33:07.786000+00:00,2,11.519
57.0,68,0.0,0.0,0.0,0.0,61,2025-05-14 09:14:58.318000+00:00,2025-05-14 09:20:59.072000+00:00,61,360.754
57.0,69,0.0,0.0,0.0,0.0,132,2025-05-14 09:38:35.684000+00:00,2025-05-14 10:11:30.857000+00:00,132,1975.173
58.0,69,0.0,0.0,0.0,0.0,11,2025-05-14 13:55:40.499000+00:00,2025-05-14 14:17:58.226000+00:00,11,1337.727
58.0,70,0.0,0.0,0.0,0.0,9,2025-05-14 14:28:43.438000+00:00,2025-05-14 14:31:54.016000+00:00,9,190.578
59.0,70,0.0,0.0,0.0,0.0,6,2025-05-14 09:36:36.544000+00:00,2025-05-14 09:42:08.001000+00:00,6,331.457
59.0,71,0.0,0.0,0.0,0.0,7,2025-05-14 10:07:53.502000+00:00,2025-05-14 10:20:14.485000+00:00,7,740.983
60.0,71,0.0,0.0,0.0,0.0,82,2025-05-14 11:54:25.560000+00:00,2025-05-14 12:40:27.540000+00:00,82,2761.98
60.0,72,0.0,0.0,0.0,0.0,108,2025-05-14 13:07:15.075000+00:00,2025-05-14 13:27:32.253000+00:00,108,1217.178
61.0,72,0.0,0.0,0.0,0.0,15,2025-05-14 11:08:01.999000+00:00,2025-05-14 11:17:29.606000+00:00,15,567.607
62.0,72,0.0,0.0,0.0,0.0,18,2025-05-14 12:03:20.157000+00:00,2025-05-14 12:12:04.541000+00:00,18,524.384
62.0,73,0.0,0.0,0.0,0.0,27,2025-05-14 12:26:22.797000+00:00,2025-05-14 13:13:44.605000+00:00,27,2841.808
63.0,73,0.0,0.0,0.0,0.0,22,2025-05-14 12:03:16.744000+00:00,2025-05-14 12:12:19.847000+00:00,22,543.103
63.0,74,0.0,0.0,0.0,0.0,91,2025-05-15 13:20:44.344000+00:00,2025-05-15 14:10:05.991000+00:00,91,2961.647
64.0,74,0.0,0.0,0.0,0.0,75,2025-05-14 12:29:36.975000+00:00,2025-05-14 13:03:39.911000+00:00,75,2042.936
64.0,75,0.0,0.0,0.0,0.0,21,2025-05-14 13:16:58.614000+00:00,2025-05-14 13:20:28.940000+00:00,21,210.326
66.0,75,0.0,0.0,0.0,0.0,19,2025-05-14 12:38:17.653000+00:00,2025-05-14 13:03:06.356000+00:00,19,1488.703
66.0,76,0.0,0.0,0.0,0.0,9,2025-05-14 13:28:48.977000+00:00,2025-05-14 13:29:16.698000+00:00,9,27.721
67.0,76,0.0,0.0,0.0,0.0,31,2025-05-14 12:40:54.768000+00:00,2025-05-14 12:57:20.814000+00:00,31,986.046
67.0,77,0.0,0.0,0.0,0.0,11,2025-05-14 13:14:36.535000+00:00,2025-05-14 13:16:07.396000+00:00,11,90.861
67.0,78,0.0,0.0,0.0,0.0,13,2025-05-14 13:33:22.278000+00:00,2025-05-14 13:46:46.259000+00:00,13,803.981
69.0,78,0.0,0.0,0.0,0.0,26,2025-05-14 14:23:16.975000+00:00,2025-05-14 14:46:16.691000+00:00,26,1379.716
70.0,78,0.0,0.0,0.0,0.0,22,2025-05-14 14:57:37.017000+00:00,2025-05-14 15:20:12.562000+00:00,22,1355.545
71.0,78,0.0,0.0,0.0,0.0,25,2025-05-14 16:38:06.115000+00:00,2025-05-14 16:53:34.069000+00:00,25,927.954
71.0,79,0.0,0.0,0.0,0.0,26,2025-05-14 17:33:41.945000+00:00,2025-05-14 17:49:32.501000+00:00,26,950.556
71.0,80,0.0,0.0,0.0,0.0,3,2025-05-14 18:23:28.060000+00:00,2025-05-14 18:30:17.641000+00:00,3,409.581
71.0,81,0.0,0.0,0.0,0.0,5,2025-05-15 01:59:42.013000+00:00,2025-05-15 02:00:24.625000+00:00,5,42.612
72.0,81,0.0,0.0,0.0,0.0,69,2025-05-15 09:38:46.349000+00:00,2025-05-15 10:03:10.720000+00:00,69,1464.371
72.0,82,0.0,0.0,0.0,0.0,3,2025-05-15 10:27:41.409000+00:00,2025-05-15 10:28:10.222000+00:00,3,28.813
72.0,83,0.0,0.0,0.0,0.0,12,2025-05-15 11:05:46.514000+00:00,2025-05-15 11:11:56.639000+00:00,12,370.125
74.0,83,0.0,0.0,0.0,0.0,151,2025-05-15 12:05:05.818000+00:00,2025-05-15 13:07:00.325000+00:00,151,3714.507
75.0,83,0.0,0.0,0.0,0.0,9,2025-05-15 14:27:34.016000+00:00,2025-05-15 14:29:16.047000+00:00,9,102.031
75.0,84,0.0,0.0,0.0,0.0,8,2025-05-15 14:43:30.492000+00:00,2025-05-15 14:44:31.263000+00:00,8,60.771
75.0,85,0.0,0.0,0.0,0.0,7,2025-05-15 15:00:05.655000+00:00,2025-05-15 15:01:41.980000+00:00,7,96.325
75.0,86,0.0,0.0,0.0,0.0,8,2025-05-15 15:16:10.788000+00:00,2025-05-15 15:17:17.842000+00:00,8,67.054
76.0,86,0.0,0.0,0.0,0.0,15,2025-05-15 14:34:57.691000+00:00,2025-05-15 14:36:00.299000+00:00,15,62.608
76.0,87,0.0,0.0,0.0,0.0,21,2025-05-15 14:50:34.077000+00:00,2025-05-15 14:52:31.736000+00:00,21,117.659
76.0,88,0.0,0.0,0.0,0.0,10,2025-05-15 15:07:10.080000+00:00,2025-05-15 15:08:09.234000+00:00,10,59.154
76.0,89,0.0,0.0,0.0,0.0,11,2025-05-15 15:22:48.804000+00:00,2025-05-15 15:23:41.803000+00:00,11,52.999
77.0,89,0.0,0.0,0.0,0.0,43,2025-05-16 13:35:04.995000+00:00,2025-05-16 13:55:15.617000+00:00,43,1210.622
78.0,89,0.0,0.0,0.0,0.0,22,2025-05-16 13:40:12.984000+00:00,2025-05-16 13:57:11.402000+00:00,22,1018.418
78.0,90,0.0,0.0,0.0,0.0,43,2025-05-16 14:33:09.398000+00:00,2025-05-16 14:56:55.171000+00:00,43,1425.773
79.0,90,0.0,0.0,0.0,0.0,32,2025-05-16 13:41:23.095000+00:00,2025-05-16 13:59:42.299000+00:00,32,1099.204
79.0,91,0.0,0.0,0.0,0.0,2,2025-05-16 14:11:35.002000+00:00,2025-05-16 14:11:39.847000+00:00,2,4.845
79.0,92,0.0,0.0,0.0,0.0,14,2025-05-16 14:25:40.165000+00:00,2025-05-16 14:58:50.544000+00:00,14,1990.379
80.0,92,0.0,0.0,0.0,0.0,18,2025-05-17 10:39:34.487000+00:00,2025-05-17 10:46:47.464000+00:00,18,432.977
81.0,92,0.0,0.0,0.0,0.0,15,2025-05-17 13:17:22.022000+00:00,2025-05-17 13:20:15.601000+00:00,15,173.579
82.0,92,0.0,0.0,0.0,0.0,29,2025-05-17 13:34:22.482000+00:00,2025-05-17 13:48:27.002000+00:00,29,844.52
82.0,93,0.0,0.0,0.0,0.0,3,2025-05-17 14:06:27.148000+00:00,2025-05-17 14:07:25.916000+00:00,3,58.768
83.0,93,0.0,0.0,0.0,0.0,10,2025-05-17 13:36:24.760000+00:00,2025-05-17 13:44:37.331000+00:00,10,492.571
83.0,94,0.0,0.0,0.0,0.0,4,2025-05-17 14:04:04.823000+00:00,2025-05-17 14:05:44.100000+00:00,4,99.277
83.0,95,0.0,0.0,0.0,0.0,2,2025-05-17 14:52:04.104000+00:00,2025-05-17 14:52:30.602000+00:00,2,26.498
84.0,95,0.0,0.0,0.0,0.0,10,2025-05-17 14:52:42.894000+00:00,2025-05-17 14:55:29.206000+00:00,10,166.312
84.0,96,0.0,0.0,0.0,0.0,22,2025-05-17 15:07:14.541000+00:00,2025-05-17 15:14:15.555000+00:00,22,421.014
84.0,97,0.0,0.0,0.0,0.0,2,2025-05-17 15:34:11.110000+00:00,2025-05-17 15:34:18.537000+00:00,2,7.427
84.0,98,0.0,0.0,0.0,0.0,6,2025-05-17 19:29:31.271000+00:00,2025-05-17 19:30:03.294000+00:00,6,32.023
85.0,98,0.0,0.0,0.0,0.0,26,2025-05-18 08:30:03.670000+00:00,2025-05-18 08:35:32.719000+00:00,26,329.049
